Tournament,Date,Participation,Winner,Runner-up,Final Score,Overview_Serve_Ace %_Winner,Overview_Serve_Ace %_Runner-up,Overview_Serve_Double Fault %_Winner,Overview_Serve_Double Fault %_Runner-up,Overview_Serve_1st Serve %_Winner,Overview_Serve_1st Serve %_Runner-up,Overview_Serve_1st Serve Won %_Winner,Overview_Serve_1st Serve Won %_Runner-up,Overview_Serve_2nd Serve Won %_Winner,Overview_Serve_2nd Serve Won %_Runner-up,Overview_Serve_Break Points Saved %_Winner,Overview_Serve_Break Points Saved %_Runner-up,Overview_Serve_Service Points Won %_Winner,Overview_Serve_Service Points Won %_Runner-up,Overview_Return_1st Srv. Return Won %_Winner,Overview_Return_1st Srv. Return Won %_Runner-up,Overview_Return_2nd Srv. Return Won %_Winner,Overview_Return_2nd Srv. Return Won %_Runner-up,Overview_Return_Break Points Won %_Winner,Overview_Return_Break Points Won %_Runner-up,Overview_Return_Return Points Won %_Winner,Overview_Return_Return Points Won %_Runner-up,Overview_Total_Points Dominance_Winner,Overview_Total_Total Points Won %_Winner,Overview_Total_Total Points Won %_Runner-up,Overview_Total_Match Time_Winner,AcesDFs_Aces_Aces_Winner,AcesDFs_Aces_Ace %_Winner,AcesDFs_Aces_Ace %_Runner-up,AcesDFs_Aces_Aces per Svc. Game_Winner,AcesDFs_Aces_Aces per Svc. Game_Runner-up,AcesDFs_Aces_Aces per Set_Winner,AcesDFs_Aces_Aces per Set_Runner-up,AcesDFs_Double Faults_Double Faults_Winner,AcesDFs_Double Faults_Double Fault %_Winner,AcesDFs_Double Faults_Double Fault %_Runner-up,AcesDFs_Double Faults_DFs per 2nd Serve %_Winner,AcesDFs_Double Faults_DFs per 2nd Serve %_Runner-up,AcesDFs_Double Faults_DFs per Svc. Game_Winner,AcesDFs_Double Faults_DFs per Svc. Game_Runner-up,AcesDFs_Double Faults_DFs per Set_Winner,AcesDFs_Double Faults_DFs per Set_Runner-up,AcesDFs_Other_Aces / DFs Ratio_Winner,AcesDFs_Other_Aces / DFs Ratio_Runner-up,Serve_Serve_1st Serve %_Winner,Serve_Serve_1st Serve %_Runner-up,Serve_Serve_1st Serve Won %_Winner,Serve_Serve_1st Serve Won %_Runner-up,Serve_Serve_2nd Serve Won %_Winner,Serve_Serve_2nd Serve Won %_Runner-up,Serve_Serve_1st Serve Effectiveness_Winner,Serve_Serve_Serve Rating_Winner,Serve_Points_Service Points Won %_Winner,Serve_Points_Service Points Won %_Runner-up,Serve_Points_Svc. In-play Pts. Won %_Winner,Serve_Points_Svc. In-play Pts. Won %_Runner-up,Serve_Points_Points per Service Game_Winner,Serve_Points_Points per Service Game_Runner-up,Serve_Points_Pts. Lost per Svc. Game_Winner,Serve_Points_Pts. Lost per Svc. Game_Runner-up,Serve_Points_Break Points Saved %_Winner,Serve_Points_Break Points Saved %_Runner-up,Serve_Points_BPs per Svc. Game_Winner,Serve_Points_BPs per Svc. Game_Runner-up,Serve_Points_BPs Faced per Set_Winner,Serve_Points_BPs Faced per Set_Runner-up,Serve_Games_Service Games Won %_Winner,Serve_Games_Service Games Won %_Runner-up,Serve_Games_Svc. Gms. Lost per Set_Winner,Serve_Games_Svc. Gms. Lost per Set_Runner-up,Return_Return_1st Srv. Return Won %_Winner,Return_Return_1st Srv. Return Won %_Runner-up,Return_Return_2nd Srv. Return Won %_Winner,Return_Return_2nd Srv. Return Won %_Runner-up,Return_Return_Return Rating_Winner,Return_Points_Return Points Won %_Winner,Return_Points_Return Points Won %_Runner-up,Return_Points_Rtn. In-play Pts. Won %_Winner,Return_Points_Rtn. In-play Pts. Won %_Runner-up,Return_Points_Points per Return Game_Winner,Return_Points_Points per Return Game_Runner-up,Return_Points_Pts. Won per Rtn. Game_Winner,Return_Points_Pts. Won per Rtn. Game_Runner-up,Return_Points_Break Points Won %_Winner,Return_Points_Break Points Won %_Runner-up,Return_Points_BPs per Return Game_Winner,Return_Points_BPs per Return Game_Runner-up,Return_Points_BPs per Set_Winner,Return_Points_BPs per Set_Runner-up,Return_Games_Return Games Won %_Winner,Return_Games_Return Games Won %_Runner-up,Return_Games_Rtn. Gms. Won per Set_Winner,Return_Games_Rtn. Gms. Won per Set_Runner-up,Total_Points & Games_Total Points Played_Winner,Total_Points & Games_Total Points Won_Winner,Total_Points & Games_Total Points Won %_Winner,Total_Points & Games_Total Points Won %_Runner-up,Total_Points & Games_Rtn. to Svc. Points Ratio_Winner,Total_Points & Games_Rtn. to Svc. Points Ratio_Runner-up,Total_Points & Games_Total Games Played_Winner,Total_Points & Games_Total Games Won_Winner,Total_Points & Games_Games Won %_Winner,Total_Points & Games_Games Won %_Runner-up,Total_Dominance_Points Dominance_Winner,Total_Dominance_Games Dominance_Winner,Total_Dominance_Break Points Ratio_Winner,Total_Time_Point Time (seconds)_Winner,Total_Time_Game Time (minutes)_Winner,Total_Time_Set Time (minutes)_Winner,Total_Time_Match Time_Winner
Wimbledon 2005,20-06-2005,87.8%,Roger Federer,Andy Roddick,6-2 7-6(2) 6-4,12 / 79,7 / 96,0 / 79,1 / 96,49 / 79,68 / 96,40 / 49,46 / 68,22 / 30,11 / 28,1 / 2,5 / 9,62 / 79,57 / 96,22 / 68,9 / 49,17 / 28,8 / 30,4 / 9,1 / 2,39 / 96,17 / 79,0.53,101 / 175,74 / 175,1:41,7,12 / 79,7 / 96,12 / 15,7 / 15,12 / 3,7 / 3,1,0 / 79,1 / 96,0 / 30,1 / 28,0 / 15,1 / 15,0 / 3,1 / 3,12 / 0,7 / 1,49 / 79,68 / 96,40 / 49,46 / 68,22 / 30,11 / 28,1.72,313,62 / 79,57 / 96,50 / 67,50 / 88,79 / 15,96 / 15,17 / 15,39 / 15,1 / 2,5 / 9,2 / 15,9 / 15,2 / 3,9 / 3,14 / 15,11 / 15,1 / 3,4 / 3,22 / 68,9 / 49,17 / 28,8 / 30,102,39 / 96,17 / 79,38.0 / 88.0,17.0 / 67.0,96 / 15,79 / 15,39 / 15,17 / 15,4 / 9,1 / 2,9 / 15,2 / 15,9 / 3,2 / 3,4 / 15,1 / 15,4 / 3,1 / 3,175,74,101 / 175,74 / 175,96 / 79,79 / 96,30,12,18 / 30,12 / 30,0.53,0.25,1.13,34.6,3.37,33.7,1:41
Wimbledon 2004,21-06-2004,84.7%,Roger Federer,Andy Roddick,4-6 7-5 7-6(3) 6-4,12 / 154,11 / 133,3 / 154,5 / 133,95 / 154,81 / 133,64 / 95,60 / 81,34 / 59,21 / 52,10 / 14,5 / 10,98 / 154,81 / 133,21 / 81,31 / 95,31 / 52,25 / 59,5 / 10,4 / 14,52 / 133,56 / 154,0.93,150 / 287,137 / 287,2:31,11,12 / 154,11 / 133,12 / 22,11 / 22,12 / 4,11 / 4,5,3 / 154,5 / 133,3 / 59,5 / 52,3 / 22,5 / 22,3 / 4,5 / 4,12 / 3,11 / 5,95 / 154,81 / 133,64 / 95,60 / 81,34 / 59,21 / 52,1.83,307,98 / 154,81 / 133,86 / 139,70 / 117,154 / 22,133 / 22,56 / 22,52 / 22,10 / 14,5 / 10,14 / 22,10 / 22,14 / 4,10 / 4,18 / 22,17 / 22,4 / 4,5 / 4,21 / 81,31 / 95,31 / 52,25 / 59,122,52 / 133,56 / 154,47.0 / 117.0,53.0 / 139.0,133 / 22,154 / 22,52 / 22,56 / 22,5 / 10,4 / 14,10 / 22,14 / 22,10 / 4,14 / 4,5 / 22,4 / 22,5 / 4,4 / 4,287,137,150 / 287,137 / 287,133 / 154,154 / 133,44,21,23 / 44,21 / 44,0.93,0.80,0.57,31.6,3.43,37.8,2:31
Wimbledon 2003,23-06-2003,87.4%,Roger Federer,Mark,7-6(5) 6-2 7-6(3),21 / 93,14 / 102,2 / 93,4 / 102,53 / 93,70 / 102,47 / 53,54 / 70,27 / 40,14 / 32,0 / 0,3 / 5,74 / 93,68 / 102,16 / 70,6 / 53,18 / 32,13 / 40,2 / 5,0 / 0,34 / 102,19 / 93,0.61,108 / 195,87 / 195,1:56,14,21 / 93,14 / 102,21 / 16,14 / 16,21 / 3,14 / 3,4,2 / 93,4 / 102,2 / 40,4 / 32,2 / 16,4 / 16,2 / 3,4 / 3,21 / 2,14 / 4,53 / 93,70 / 102,47 / 53,54 / 70,27 / 40,14 / 32,1.76,347,74 / 93,68 / 102,53 / 70,54 / 84,93 / 16,102 / 16,19 / 16,34 / 16,0 / 0,3 / 5,0 / 16,5 / 16,0 / 3,5 / 3,16 / 16,14 / 16,0 / 3,2 / 3,16 / 70,6 / 53,18 / 32,13 / 40,44,34 / 102,19 / 93,30.0 / 84.0,17.0 / 70.0,102 / 16,93 / 16,34 / 16,19 / 16,2 / 5,0 / 0,5 / 16,0 / 16,5 / 3,0 / 3,2 / 16,0 / 16,2 / 3,0 / 3,195,87,108 / 195,87 / 195,102 / 93,93 / 102,32,14,18 / 32,14 / 32,0.61,0.00,,35.7,3.63,38.7,1:56
Wimbledon 2002,24-06-2002,78.0%,Lleyton Hewitt,David Nalbandian,6-1 6-3 6-2,5 / 79,2 / 89,2 / 79,7 / 89,42 / 79,51 / 89,33 / 42,27 / 51,18 / 37,12 / 38,8 / 10,12 / 20,51 / 79,39 / 89,24 / 51,9 / 42,26 / 38,19 / 37,8 / 20,2 / 10,50 / 89,28 / 79,0.63,101 / 168,67 / 168,1:56,2,5 / 79,2 / 89,5 / 12,2 / 12,5 / 3,2 / 3,7,2 / 79,7 / 89,2 / 37,7 / 38,2 / 12,7 / 12,2 / 3,7 / 3,5 / 2,2 / 7,42 / 79,51 / 89,33 / 42,27 / 51,18 / 37,12 / 38,1.68,230,51 / 79,39 / 89,46 / 72,37 / 80,79 / 12,89 / 12,28 / 12,50 / 12,8 / 10,12 / 20,10 / 12,20 / 12,10 / 3,20 / 3,10 / 12,4 / 12,2 / 3,8 / 3,24 / 51,9 / 42,26 / 38,19 / 37,109,50 / 89,28 / 79,43.0 / 80.0,26.0 / 72.0,89 / 12,79 / 12,50 / 12,28 / 12,8 / 20,2 / 10,20 / 12,10 / 12,20 / 3,10 / 3,8 / 12,2 / 12,8 / 3,2 / 3,168,67,101 / 168,67 / 168,89 / 79,79 / 89,24,6,18 / 24,6 / 24,0.63,0.25,0.50,41.4,4.83,38.7,1:56
Wimbledon 2001,25-06-2001,83.9%,Goran Ivanisevic,Patrick Rafter,6-3 3-6 6-3 2-6 9-7,27 / 164,13 / 139,15 / 164,4 / 139,91 / 164,88 / 139,74 / 91,68 / 88,37 / 73,29 / 51,3 / 6,3 / 6,111 / 164,97 / 139,20 / 88,17 / 91,22 / 51,36 / 73,3 / 6,3 / 6,42 / 139,53 / 164,1.07,153 / 303,150 / 303,3:02,13,27 / 164,13 / 139,27 / 26,13 / 25,27 / 5,13 / 5,4,15 / 164,4 / 139,15 / 73,4 / 51,15 / 26,4 / 25,15 / 5,4 / 5,27 / 15,13 / 4,91 / 164,88 / 139,74 / 91,68 / 88,37 / 73,29 / 51,1.36,342,111 / 164,97 / 139,84 / 122,84 / 122,164 / 26,139 / 25,53 / 26,42 / 25,3 / 6,3 / 6,6 / 26,6 / 25,6 / 5,6 / 5,23 / 26,22 / 25,3 / 5,3 / 5,20 / 88,17 / 91,22 / 51,36 / 73,130,42 / 139,53 / 164,38.0 / 122.0,38.0 / 122.0,139 / 25,164 / 26,42 / 25,53 / 26,3 / 6,3 / 6,6 / 25,6 / 26,6 / 5,6 / 5,3 / 25,3 / 26,3 / 5,3 / 5,303,150,153 / 303,150 / 303,139 / 164,164 / 139,51,25,26 / 51,25 / 51,1.07,0.96,1.00,36.0,3.57,36.4,3:02
Wimbledon 2000,26-06-2000,88.5%,Pete Sampras,Patrick Rafter,6-7(10) 7-6(5) 6-4 6-2,24 / 132,10 / 167,12 / 132,7 / 167,84 / 132,97 / 167,74 / 84,73 / 97,27 / 48,34 / 70,2 / 2,11 / 14,101 / 132,107 / 167,24 / 97,10 / 84,36 / 70,21 / 48,3 / 14,0 / 2,60 / 167,31 / 132,0.65,161 / 299,138 / 299,2:58,10,24 / 132,10 / 167,24 / 21,10 / 21,24 / 4,10 / 4,7,12 / 132,7 / 167,12 / 48,7 / 70,12 / 21,7 / 21,12 / 4,7 / 4,24 / 12,10 / 7,84 / 132,97 / 167,74 / 84,73 / 97,27 / 48,34 / 70,1.55,348,101 / 132,107 / 167,77 / 96,97 / 150,132 / 21,167 / 21,31 / 21,60 / 21,2 / 2,11 / 14,2 / 21,14 / 21,2 / 4,14 / 4,21 / 21,18 / 21,0 / 4,3 / 4,24 / 97,10 / 84,36 / 70,21 / 48,56,60 / 167,31 / 132,53.0 / 150.0,19.0 / 96.0,167 / 21,132 / 21,60 / 21,31 / 21,3 / 14,0 / 2,14 / 21,2 / 21,14 / 4,2 / 4,3 / 21,0 / 21,3 / 4,0 / 4,299,138,161 / 299,138 / 299,167 / 132,132 / 167,42,18,24 / 42,18 / 42,0.65,0.00,0.00,35.7,4.24,44.5,2:58
Wimbledon 1999,21-06-1999,87.3%,Pete Sampras,Andre Agassi,6-3 6-4 7-5,16 / 114,5 / 109,5 / 114,6 / 109,76 / 114,49 / 109,68 / 76,37 / 49,15 / 38,27 / 60,4 / 4,6 / 9,83 / 114,64 / 109,12 / 49,8 / 76,33 / 60,23 / 38,3 / 9,0 / 4,45 / 109,31 / 114,0.66,128 / 223,95 / 223,1:55,5,16 / 114,5 / 109,16 / 16,5 / 15,16 / 3,5 / 3,6,5 / 114,6 / 109,5 / 38,6 / 60,5 / 16,6 / 15,5 / 3,6 / 3,16 / 5,5 / 6,76 / 114,49 / 109,68 / 76,37 / 49,15 / 38,27 / 60,1.68,311,83 / 114,64 / 109,67 / 93,59 / 98,114 / 16,109 / 15,31 / 16,45 / 15,4 / 4,6 / 9,4 / 16,9 / 15,4 / 3,9 / 3,16 / 16,12 / 15,0 / 3,3 / 3,12 / 49,8 / 76,33 / 60,23 / 38,71,45 / 109,31 / 114,39.0 / 98.0,26.0 / 93.0,109 / 15,114 / 16,45 / 15,31 / 16,3 / 9,0 / 4,9 / 15,4 / 16,9 / 3,4 / 3,3 / 15,0 / 16,3 / 3,0 / 3,223,95,128 / 223,95 / 223,109 / 114,114 / 109,31,12,19 / 31,12 / 31,0.66,0.00,0.00,30.9,3.71,38.3,1:55
Wimbledon 1998,22-06-1998,91.5%,Pete Sampras,Goran Ivanisevic,6-7(2) 7-6(9) 6-4 3-6 6-2,11 / 174,32 / 230,8 / 174,20 / 230,96 / 174,132 / 230,79 / 96,115 / 132,44 / 78,34 / 98,7 / 9,10 / 14,123 / 174,149 / 230,17 / 132,17 / 96,64 / 98,34 / 78,4 / 14,2 / 9,81 / 230,51 / 174,0.83,204 / 404,200 / 404,2:52,32,11 / 174,32 / 230,11 / 25,32 / 26,11 / 5,32 / 5,20,8 / 174,20 / 230,8 / 78,20 / 98,8 / 25,20 / 26,8 / 5,20 / 5,11 / 8,32 / 20,96 / 174,132 / 230,79 / 96,115 / 132,44 / 78,34 / 98,2.51,340,123 / 174,149 / 230,112 / 155,117 / 178,174 / 25,230 / 26,51 / 25,81 / 26,7 / 9,10 / 14,9 / 25,14 / 26,9 / 5,14 / 5,23 / 25,22 / 26,2 / 5,4 / 5,17 / 132,17 / 96,64 / 98,34 / 78,92,81 / 230,51 / 174,61.0 / 178.0,43.0 / 155.0,230 / 26,174 / 25,81 / 26,51 / 25,4 / 14,2 / 9,14 / 26,9 / 25,14 / 5,9 / 5,4 / 26,2 / 25,4 / 5,2 / 5,404,200,204 / 404,200 / 404,230 / 174,174 / 230,51,24,27 / 51,24 / 51,0.83,0.52,0.78,25.5,3.37,34.4,2:52
Wimbledon 1997,23-06-1997,72.1%,Pete Sampras,Cedric,6-4 6-2 6-4,17 / 95,13 / 92,2 / 95,1 / 92,61 / 95,60 / 92,55 / 61,46 / 60,22 / 34,16 / 32,1 / 1,4 / 8,77 / 95,62 / 92,14 / 60,6 / 61,16 / 32,12 / 34,4 / 8,0 / 1,30 / 92,18 / 95,0.58,107 / 187,80 / 187,1:34,13,17 / 95,13 / 92,17 / 14,13 / 14,17 / 3,13 / 3,1,2 / 95,1 / 92,2 / 34,1 / 32,2 / 14,1 / 14,2 / 3,1 / 3,17 / 2,13 / 1,61 / 95,60 / 92,55 / 61,46 / 60,22 / 34,16 / 32,1.53,326,77 / 95,62 / 92,60 / 76,49 / 78,95 / 14,92 / 14,18 / 14,30 / 14,1 / 1,4 / 8,1 / 14,8 / 14,1 / 3,8 / 3,14 / 14,10 / 14,0 / 3,4 / 3,14 / 60,6 / 61,16 / 32,12 / 34,45,30 / 92,18 / 95,29.0 / 78.0,16.0 / 76.0,92 / 14,95 / 14,30 / 14,18 / 14,4 / 8,0 / 1,8 / 14,1 / 14,8 / 3,1 / 3,4 / 14,0 / 14,4 / 3,0 / 3,187,80,107 / 187,80 / 187,92 / 95,95 / 92,28,10,18 / 28,10 / 28,0.58,0.00,0.00,30.2,3.36,31.3,1:34
Wimbledon 1996,24-06-1996,85.1%,Richard Krajicek,Malivai,6-3 6-4 6-3,13 / 87,5 / 95,3 / 87,2 / 95,68 / 87,69 / 95,59 / 68,43 / 69,8 / 19,11 / 26,1 / 2,6 / 11,67 / 87,54 / 95,26 / 69,9 / 68,15 / 26,11 / 19,5 / 11,1 / 2,41 / 95,20 / 87,0.53,108 / 182,74 / 182,1:34,5,13 / 87,5 / 95,13 / 14,5 / 14,13 / 3,5 / 3,2,3 / 87,2 / 95,3 / 19,2 / 26,3 / 14,2 / 14,3 / 3,2 / 3,13 / 3,5 / 2,68 / 87,69 / 95,59 / 68,43 / 69,8 / 19,11 / 26,1.47,299,67 / 87,54 / 95,54 / 71,49 / 88,87 / 14,95 / 14,20 / 14,41 / 14,1 / 2,6 / 11,2 / 14,11 / 14,2 / 3,11 / 3,13 / 14,9 / 14,1 / 3,5 / 3,26 / 69,9 / 68,15 / 26,11 / 19,128,41 / 95,20 / 87,39.0 / 88.0,17.0 / 71.0,95 / 14,87 / 14,41 / 14,20 / 14,5 / 11,1 / 2,11 / 14,2 / 14,11 / 3,2 / 3,5 / 14,1 / 14,5 / 3,1 / 3,182,74,108 / 182,74 / 182,95 / 87,87 / 95,28,10,18 / 28,10 / 28,0.53,0.20,1.10,31.0,3.36,31.3,1:34
Wimbledon 1995,26-06-1995,78.9%,Pete Sampras,Boris Becker,6-7(5) 6-2 6-4 6-2,23 / 136,17 / 173,7 / 136,16 / 173,79 / 136,87 / 173,71 / 79,73 / 87,34 / 57,28 / 86,0 / 0,11 / 16,105 / 136,101 / 173,14 / 87,8 / 79,58 / 86,23 / 57,5 / 16,0 / 0,72 / 173,31 / 136,0.55,177 / 309,132 / 309,2:29,17,23 / 136,17 / 173,23 / 19,17 / 19,23 / 4,17 / 4,16,7 / 136,16 / 173,7 / 57,16 / 86,7 / 19,16 / 19,7 / 4,16 / 4,23 / 7,17 / 16,79 / 136,87 / 173,71 / 79,73 / 87,34 / 57,28 / 86,2.58,310,105 / 136,101 / 173,82 / 106,84 / 140,136 / 19,173 / 19,31 / 19,72 / 19,0 / 0,11 / 16,0 / 19,16 / 19,0 / 4,16 / 4,19 / 19,14 / 19,0 / 4,5 / 4,14 / 87,8 / 79,58 / 86,23 / 57,50,72 / 173,31 / 136,56.0 / 140.0,24.0 / 106.0,173 / 19,136 / 19,72 / 19,31 / 19,5 / 16,0 / 0,16 / 19,0 / 19,16 / 4,0 / 4,5 / 19,0 / 19,5 / 4,0 / 4,309,132,177 / 309,132 / 309,173 / 136,136 / 173,38,14,24 / 38,14 / 38,0.55,0.00,,28.9,3.92,37.3,2:29
Wimbledon 1994,20-06-1994,88.2%,Pete Sampras,Goran Ivanisevic,7-6(2) 7-6(5) 6-0,17 / 123,25 / 136,5 / 123,6 / 136,66 / 123,89 / 136,60 / 66,69 / 89,33 / 57,19 / 47,2 / 2,8 / 11,93 / 123,88 / 136,20 / 89,6 / 66,28 / 47,24 / 57,3 / 11,0 / 2,48 / 136,30 / 123,0.69,141 / 259,118 / 259,0:00,25,17 / 123,25 / 136,17 / 15,25 / 15,17 / 3,25 / 3,6,5 / 123,6 / 136,5 / 57,6 / 47,5 / 15,6 / 15,5 / 3,6 / 3,17 / 5,25 / 6,66 / 123,89 / 136,60 / 66,69 / 89,33 / 57,19 / 47,1.92,350,93 / 123,88 / 136,76 / 101,63 / 105,123 / 15,136 / 15,30 / 15,48 / 15,2 / 2,8 / 11,2 / 15,11 / 15,2 / 3,11 / 3,15 / 15,12 / 15,0 / 3,3 / 3,20 / 89,6 / 66,28 / 47,24 / 57,51,48 / 136,30 / 123,42.0 / 105.0,25.0 / 101.0,136 / 15,123 / 15,48 / 15,30 / 15,3 / 11,0 / 2,11 / 15,2 / 15,11 / 3,2 / 3,3 / 15,0 / 15,3 / 3,0 / 3,259,118,141 / 259,118 / 259,136 / 123,123 / 136,30,12,18 / 30,12 / 30,0.69,0.00,0.00,0.0,0.00,0.0,0:00
Wimbledon 1993,21-06-1993,86.7%,Pete Sampras,Jim Courier,7-6(3) 7-6(6) 3-6 6-3,22 / 149,8 / 149,7 / 149,6 / 149,97 / 149,83 / 149,84 / 97,65 / 83,30 / 52,35 / 66,0 / 2,3 / 5,114 / 149,100 / 149,18 / 83,13 / 97,31 / 66,22 / 52,2 / 5,2 / 2,49 / 149,35 / 149,0.71,163 / 298,135 / 298,0:00,8,22 / 149,8 / 149,22 / 21,8 / 21,22 / 4,8 / 4,6,7 / 149,6 / 149,7 / 52,6 / 66,7 / 21,6 / 21,7 / 4,6 / 4,22 / 7,8 / 6,97 / 149,83 / 149,84 / 97,65 / 83,30 / 52,35 / 66,1.48,339,114 / 149,100 / 149,92 / 120,92 / 135,149 / 21,149 / 21,35 / 21,49 / 21,0 / 2,3 / 5,2 / 21,5 / 21,2 / 4,5 / 4,19 / 21,19 / 21,2 / 4,2 / 4,18 / 83,13 / 97,31 / 66,22 / 52,165,49 / 149,35 / 149,43.0 / 135.0,28.0 / 120.0,149 / 21,149 / 21,49 / 21,35 / 21,2 / 5,2 / 2,5 / 21,2 / 21,5 / 4,2 / 4,2 / 21,2 / 21,2 / 4,2 / 4,298,135,163 / 298,135 / 298,149 / 149,149 / 149,42,21,21 / 42,21 / 42,0.71,1.00,2.50,0.0,0.00,0.0,0:00
Wimbledon 1992,22-06-1992,88.3%,Andre Agassi,Goran Ivanisevic,6-7(8) 6-4 6-4 1-6 6-4,9 / 166,37 / 208,1 / 166,7 / 208,115 / 166,139 / 208,89 / 115,120 / 139,31 / 51,29 / 69,3 / 5,13 / 16,120 / 166,149 / 208,19 / 139,26 / 115,40 / 69,20 / 51,3 / 16,2 / 5,59 / 208,46 / 166,0.98,179 / 374,195 / 374,2:50,37,9 / 166,37 / 208,9 / 24,37 / 25,9 / 5,37 / 5,7,1 / 166,7 / 208,1 / 51,7 / 69,1 / 24,7 / 25,1 / 5,7 / 5,9 / 1,37 / 7,115 / 166,139 / 208,89 / 115,120 / 139,31 / 51,29 / 69,2.05,379,120 / 166,149 / 208,111 / 156,112 / 164,166 / 24,208 / 25,46 / 24,59 / 25,3 / 5,13 / 16,5 / 24,16 / 25,5 / 5,16 / 5,22 / 24,22 / 25,2 / 5,3 / 5,19 / 139,26 / 115,40 / 69,20 / 51,110,59 / 208,46 / 166,52.0 / 164.0,45.0 / 156.0,208 / 25,166 / 24,59 / 25,46 / 24,3 / 16,2 / 5,16 / 25,5 / 24,16 / 5,5 / 5,3 / 25,2 / 24,3 / 5,2 / 5,374,195,179 / 374,195 / 374,208 / 166,166 / 208,49,24,25 / 49,24 / 49,0.98,0.69,2.13,27.3,3.47,34.0,2:50
Wimbledon 1991,24-06-1991,85.8%,Michael Stich,Boris Becker,6-4 7-6(4) 6-4,15 / 100,10 / 114,3 / 100,4 / 114,46 / 100,67 / 114,35 / 46,44 / 67,32 / 54,26 / 47,1 / 3,12 / 16,67 / 100,70 / 114,23 / 67,11 / 46,21 / 47,22 / 54,4 / 16,2 / 3,44 / 114,33 / 100,0.86,111 / 214,103 / 214,2:33,10,15 / 100,10 / 114,15 / 16,10 / 16,15 / 3,10 / 3,4,3 / 100,4 / 114,3 / 54,4 / 47,3 / 16,4 / 16,3 / 3,4 / 3,15 / 3,10 / 4,46 / 100,67 / 114,35 / 46,44 / 67,32 / 54,26 / 47,1.19,335,67 / 100,70 / 114,52 / 82,60 / 100,100 / 16,114 / 16,33 / 16,44 / 16,1 / 3,12 / 16,3 / 16,16 / 16,3 / 3,16 / 3,14 / 16,12 / 16,2 / 3,4 / 3,23 / 67,11 / 46,21 / 47,22 / 54,144,44 / 114,33 / 100,40.0 / 100.0,30.0 / 82.0,114 / 16,100 / 16,44 / 16,33 / 16,4 / 16,2 / 3,16 / 16,3 / 16,16 / 3,3 / 3,4 / 16,2 / 16,4 / 3,2 / 3,214,103,111 / 214,103 / 214,114 / 100,100 / 114,32,14,18 / 32,14 / 32,0.86,0.50,2.67,42.9,4.78,51.0,2:33
US Open 2020,31-08-2020,79.8%,Dominic Thiem,Alexander Zverev,2-6 4-6 6-4 6-3 7-6(6),8 / 165,15 / 157,8 / 165,15 / 157,103 / 165,101 / 157,70 / 103,71 / 101,30 / 62,23 / 56,10 / 18,6 / 13,100 / 165,94 / 157,30 / 101,33 / 103,33 / 56,32 / 62,7 / 13,8 / 18,63 / 157,65 / 165,0.98,163 / 322,159 / 322,4:02,15,8 / 165,15 / 157,8 / 26,15 / 24,8 / 5,15 / 5,15,8 / 165,15 / 157,8 / 62,15 / 56,8 / 26,15 / 24,8 / 5,15 / 5,8 / 8,15 / 15,103 / 165,101 / 157,70 / 103,71 / 101,30 / 62,23 / 56,1.71,293,100 / 165,94 / 157,92 / 149,79 / 127,165 / 26,157 / 24,65 / 26,63 / 24,10 / 18,6 / 13,18 / 26,13 / 24,18 / 5,13 / 5,18 / 26,17 / 24,8 / 5,7 / 5,30 / 101,33 / 103,33 / 56,32 / 62,159,63 / 157,65 / 165,48.0 / 127.0,57.0 / 149.0,157 / 24,165 / 26,63 / 24,65 / 26,7 / 13,8 / 18,13 / 24,18 / 26,13 / 5,18 / 5,7 / 24,8 / 26,7 / 5,8 / 5,322,159,163 / 322,159 / 322,157 / 165,165 / 157,49,25,24 / 49,25 / 49,0.98,1.05,0.83,45.1,4.94,48.4,4:02
US Open 2019,26-08-2019,93.0%,Rafael Nadal,Daniil Medvedev,7-5 6-3 5-7 4-6 6-4,5 / 159,14 / 182,5 / 159,4 / 182,93 / 159,117 / 182,72 / 93,76 / 117,34 / 66,35 / 65,10 / 15,15 / 21,106 / 159,111 / 182,41 / 117,21 / 93,30 / 65,32 / 66,6 / 21,5 / 15,71 / 182,53 / 159,0.85,177 / 341,164 / 341,4:50,14,5 / 159,14 / 182,5 / 27,14 / 26,5 / 5,14 / 5,4,5 / 159,4 / 182,5 / 66,4 / 65,5 / 27,4 / 26,5 / 5,4 / 5,5 / 5,14 / 4,93 / 159,117 / 182,72 / 93,76 / 117,34 / 66,35 / 65,1.21,337,106 / 159,111 / 182,101 / 149,97 / 164,159 / 27,182 / 26,53 / 27,71 / 26,10 / 15,15 / 21,15 / 27,21 / 26,15 / 5,21 / 5,22 / 27,20 / 26,5 / 5,6 / 5,41 / 117,21 / 93,30 / 65,32 / 66,123,71 / 182,53 / 159,67.0 / 164.0,48.0 / 149.0,182 / 26,159 / 27,71 / 26,53 / 27,6 / 21,5 / 15,21 / 26,15 / 27,21 / 5,15 / 5,6 / 26,5 / 27,6 / 5,5 / 5,341,164,177 / 341,164 / 341,182 / 159,159 / 182,53,25,28 / 53,25 / 53,0.85,0.80,1.17,51.0,5.47,58.0,4:50
