Name,Full name,Country (sports),Born,Died,Height,Turned pro,Retired,Plays,Prize money,Int. Tennis HoF,Residence,Spouse(s),Children,Coach,College,Official website,Native name,Nationality,Batting,Cause of death,Listed height,Listed weight
Randolph Lycett,,Australia  United Kingdom,1886-08-27,"9 February 1935(1935-02-09) (aged 48)[1]Jersey, United Kingdom",1.73 m,1905 (amateur tour),1929,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Richard D. Sears,Richard Dudley Sears,United States,1861-10-26,"April 8, 1943(1943-04-08) (aged 81)Boston, MA, US",,1880 (amateur tour),1888,Right-handed (one-handed backhand),,1955 (member page),,,,,,,,,,,,
Michael Chang,,United States,1972-02-22,,175 cm,1988 (amateur tour from 1987),2003,Right-handed (two-handed backhand),"US$19,145,632
 25th all-time leader in earnings",2008 (member page),"Orange County, California, USA",,,"José Higueras (1989), Carl Chang (1992–2003)",,mchang.com,,,,,,
Vitas Gerulaitis,,United States,1954-07-26,"September 17, 1994(1994-09-17) (aged 40)Southampton, New York, U.S.",1.83 m,1971,1986,Right-handed (one-handed backhand),"$2,778,748",,,,,,,,,,,,,
J. Donald Budge,John Donald Budge,United States,1915-06-13,"January 26, 2000(2000-01-26) (aged 84)Scranton, Pennsylvania",185 cm,1938 (amateur tour from 1932),1955,Right-handed (one-handed backhand),,1964 (member page),,,,,,,,,,,,
Harry Hopman,Henry Christian Hopman,Australia,1906-08-12,"27 December 1985(1985-12-27) (aged 79)Seminole, Florida, USA",1.70 m,,,Right-handed (one-handed backhand),,1978 (member page),,,,,,,,,,,,
Ken McGregor,Kenneth Bruce McGregor,Australia,1929-06-02,"1 December 2007(2007-12-01) (aged 78)Adelaide, Australia",188 cm,1952 (amateur tour from 1948),1957,Right-handed (one-handed backhand),,1999 (member page),,,,,,,,,,,,
Dick Crealy,Richard D. Crealy,Australia,1944-09-18,,,1969 (amateur tour from 1963),1981,Right-handed (one-handed backhand),,,"Sydney, Australia",,,,,,,,,,,
Gottfried von Cramm,Gottfried Alexander Maximilian Walter Kurt Freiherr von Cramm,German Empire Nazi Germany West Germany,1909-07-07,"8 November 1976(1976-11-08) (aged 67)Cairo, Egypt",1.83 m,1931 (amateur tour),1952,Right-handed (one-handed backhand),,1977 (member page),,,,,,,,,,,,
Harold Solomon,,United States,1952-09-17,,1.68 m,1972 (amateur from 1971),1986,Right-handed (two-handed backhand),"$1,802,769",,"Fort Lauderdale, Florida",,,,,,,,,,,
Howard A. Taylor,,United States,1865-11-23,"November 26, 1920(1920-11-26) (aged 55) [1]New York City, United States",,1879 (amateur tour),1890,,,,,,,,,,,,,,,
Laurie Doherty,Hugh Laurence Doherty,United Kingdom,1875-10-08,"21 August 1919(1919-08-21) (aged 43)Broadstairs, England",1.78 m,,1906,Right-handed (one-handed backhand),,1980 (member page),,,,,,,,,,,,
Kim Warwick,,Australia,1952-04-08,,1.83 m,1970,1987 (brief comeback in 1996),Right-handed (one-handed backhand),"$994,045",,"Clearwater, Florida",,,,,,,,,,,
David Ferrer,,Spain,1982-04-02,,1.75 m,2000 (amateur tour from 1999),2019,Right-handed (two-handed backhand),"US$31,483,911 
 7th all-time leader in earnings",,"Valencia, Spain",,,Javier Piles (2000–2013)José Francisco Altur (2014)Francisco Fogues (2014–2019),,,,,,,,
Howard Kinsey,Howard Oreon Kinsey,United States,1899-12-03,"July 26, 1966(1966-07-26) (aged 66)San Francisco, CA, United States",,1927 (amateur from 1920),1931,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Jo-Wilfried Tsonga,,France,1985-04-17,,1.88 m,2004,,"Right-handed (two-handed backhand)
occasionally uses one-handed backhand","US$ 22,193,151
 17th all-time leader in earnings",,"Gingins, Switzerland",,,Eric Winogradsky (2004–2011)Roger Rasheed (2012–2013)Nicolas Escudé (2013–2015)Thierry Ascione (2013–)Sergi Bruguera (2019–),,,,,,,,
Ernie Parker,Ernest Frederick Parker,Australia,1883-11-05,"2 May 1918(1918-05-02) (aged 34)Caëstre, France",,1903 (amateur tour),1918 (due to death),Right-handed (one-handed backhand),,,,,,,,,,,Right-handed,,,
Tony Wilding,Anthony Frederick Wilding,New Zealand,1883-10-31,"9 May 1915(1915-05-09) (aged 31)Aubers Ridge, Neuve-Chapelle, France",1.87 m,,,Right-handed (one-handed backhand),,1978 (member page),,,,,,,,,,,,
Frank Parker,,United States,1916-01-31,"July 24, 1997(1997-07-24) (aged 81)San Diego, California, U.S.",,October 1949 (amateur tour from 1930),1971,Right-handed (one-handed backhand),,1966 (member page),,,,,,,,,,,,
Andriy Medvedev,,"Soviet Union (1991) 
 Ukraine (1991–2001)",1974-08-31,,1.93 m,1991,2001,Right-handed (two-handed backhand),"$6,721,560",,"Monte Carlo, Monaco",,,,,,,,,,,
Patrick Proisy,,France,1949-09-10,,1.80 m,1968,1981,Right-handed (one-handed backhand),,,"Paris, France",,,,,,,,,,,
Kevin Anderson,,South Africa,1986-05-18,,2.03m,2007,,Right-handed (two-handed backhand),"US$ 17,125,531 ",,"Gulf Stream, Florida, U.S., Johannesburg, South Africa",,,,,,,,,,,
Juan Martín del Potro,Juan Martín del Potro,Argentina,1988-09-23,,1.98 m,2005,,Right-handed (two-handed backhand),"US$ 25,889,586 12th all-time leader in earnings",,"Tandil, Argentina",,,Sebastián Prieto,,,,,,,,
MaliVai Washington,,United States,1969-06-20,,1.80 m,1989,1999,Right-handed (two-handed backhand),"$3,232,565",,"Ponte Vedra Beach, Florida",,,,,,,,,,,
Andrés Gómez,,Ecuador,1960-02-27,,1.93 m,1979,1995,Left-handed (one-handed backhand),"$4,385,130",,"Guayaquil, Ecuador",,,,,,,,,,,
Ashley Cooper,Ashley John Cooper,Australia,1936-09-15,22 May 2020(2020-05-22) (aged 83),1.85m,1959 (amateur from 1953),1962,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Gustavo Kuerten,,Brazil,1976-09-10,,1.90 m,1995,25 May 2008,Right-handed (one-handed backhand),"$14,807,000",2012 (member page),"Florianópolis, Brazil",,,,,,,,,,,
Mark Philippoussis,,Australia,1976-11-07,,196 cm,1994,2015,Right-handed (one-handed backhand),"$6,987,402",,"Melbourne, Victoria, Australia",,,,,,,,,,,
Keith Gledhill,,United States,1911-02-16,"June 2, 1999(1999-06-02) (aged 88)",,1934 (amateur tour from 1930),1942,Right-handed (one-handed backhand),,,,,,,Stanford University,,,,,,,
Gastón Gaudio,,Argentina,1978-12-09,,1.75 m,1996,2011,Right-handed (one-handed backhand),"$6,066,156",,"Buenos Aires, Argentina",,,,,,,,,,,
Roy Emerson,Roy Stanley Emerson,Australia,1936-11-03,,183 cm,1953,1983,Right-handed (one-handed backhand),,1982 (member page),"Newport Beach, California, U.S.",,,,,,,,,,,
Dick Savitt,,United States,1927-03-04,,1.91 m,1944 (amateur tour),1952 (played part-time afterwards),Right-handed (one-handed backhand),,1976 (member page),,,,,Cornell University (57–2 record in singles),,,,,,,
Maurice McLoughlin,Maurice Evans McLoughlin,United States,1890-01-07,"December 10, 1957(1957-12-10) (aged 67)Hermosa Beach, CA, U.S.",,,1919,Right-handed (one-handed backhand),,1957 (member page),"AKA ""The California Comet""",,,,,,,,,,,
Martin Verkerk,,Netherlands,1978-10-31,,1.95 m,1996,9 December 2008,Right-handed (one-handed backhand),"$1,491,379",,"Alphen a/d Rijn, Netherlands",,,,,,,,,,,
Norman Brookes,Norman Everard Brookes,Australia,1877-11-14,"28 September 1968(1968-09-28) (aged 90)South Yarra, Victoria, Australia",1.80 m,,1928,Left-handed (one-handed backhand)[1],,1977 (member page),,,,,,,,,,,,
Fernando González,,Chile,1980-07-29,,1.83 m,1999,2012,Right-handed (one-handed backhand),"$8,862,276",,"La Reina, Santiago",,,,,,,,,,,
Gerald Patterson,,Australia,1895-12-17,"13 June 1967(1967-06-13) (aged 71)Melbourne, Australia",,1914 (amateur tour),1928,Right-handed (one-handed backhand),,1989 (member page),,,,,,,,,,,,
René Lacoste,,France,1904-07-02,"12 October 1996(1996-10-12) (aged 92)Saint-Jean-de-Luz, France",,,1932,Right-handed (one-handed backhand),,1976 (member page),,,,,,,,,,,,
Jimmy Connors,James Scott Connors,United States,1952-09-02,,1.78 m,1972 (amateur from 1970),"April 29, 1996",Left-handed (two-handed backhand),"$8,641,040",1998 (member page),"Santa Barbara, California, U.S.",,,Gloria ConnorsPancho Segura,,,,,,,,
Frank Hadow,Patrick Francis Hadow,United Kingdom,1855-01-02,"29 June 1946(1946-06-29) (aged 91)Bridgwater, Somerset, England",,1878 (amateur tour),1878,,,,,,,,,,,,,,,
Horace Rice,,Australia,1872-09-05,"18 January 1950(1950-01-18) (aged 77) [1]Roseville, Sydney, Australia",,,,Left-handed (one-handed backhand),,,,,,,,,,,,,,
Phil Dent,,Australia,1950-02-14,,182 cm,1968 (amateur from 1967),1983,Right-handed (one-handed backhand),,,"Newport Beach, California, U.S.",,,,,,,,,,,
Wallace F. Johnson,,United States,1889-07-13,"February 15, 1971(1971-02-15) (aged 81)Philadelphia, Pennsylvania, United States",,1929 (amateur tour from 1904),1930,Right-handed (one-handed backhand),,,,,,,University of Pennsylvania[1],,,,,,,
Björn Borg,Björn Rune Borg,Sweden,1956-06-06,,1.80 m,1973 (comeback in 1991),"1984, 1993",Right-handed (two-handed backhand),"$3,655,751",1987 (member page),"Monte Carlo, Monaco",,,Lennart Bergelin (1971–1983)Ron Thatcher (1991–1993),,,,,,,,
Ellsworth Vines,Henry Ellsworth Vines Jr.,United States,1911-09-28,"March 17, 1994(1994-03-17) (aged 82)La Quinta, California",1.89 m,1934,1940,Right-handed (one-handed backhand),,1962 (member page),,,,,,,,,,,,
H. Ellsworth Vines,Henry Ellsworth Vines Jr.,United States,1911-09-28,"March 17, 1994(1994-03-17) (aged 82)La Quinta, California",1.89 m,1934,1940,Right-handed (one-handed backhand),,1962 (member page),,,,,,,,,,,,
William Hamilton,James Willoughby Hamilton,"United Kingdom, Ireland",1864-12-09,"27 September 1943(1943-09-27) (aged 78)Dublin, Republic of Ireland",1.75m,,,,,,,,,,,,,,,,,
Seaman Jack Kramer,John Albert Kramer,United States,1921-08-01,"September 12, 2009(2009-09-12) (aged 88)Bel Air, California, U.S.",1.88 m,November 1947 (first senior amateur event 1937),1954,Right-handed (one-handed backhand),,1968 (member page),,,,,Rollins College,,,,,,,
Adrian Quist,Adrian Karl Quist,Australia,1913-01-23,"17 November 1991(1991-11-17) (aged 78)Sydney, New South Wales, Australia",,1930 (amateur tour),1955,Right-handed (one-handed backhand),,1984 (member page),,,,,,,,,,,,
Jim Courier,,United States,1970-08-17,,1.85 m,1988,2000,Right-handed (two-handed backhand),"$14,034,132",2005 (member page),"Orlando, Florida",,,"Nick Bollettieri, Sergio Cruz (1988–1990), Brad Stine (1990–1994)José Higueras (1990–1997)Harold Solomon (1997)Brad Stine (1997–2000)",,,,,,,,
Henri Leconte,,France,1963-07-04,,1.84 m,1980,1996,Left-handed (one-handed backhand),"$3,440,660",,"Geneva, Switzerland",,,,,,,,,,,
William Marshall,William Marshall,United Kingdom of Great Britain and Ireland,1849-04-29,"24 January 1921(1921-01-24) (aged 71)Hindhead, Surrey, England",,,,,,,,,,,,,,,,,,
Maurice E. McLoughlin,Maurice Evans McLoughlin,United States,1890-01-07,"December 10, 1957(1957-12-10) (aged 67)Hermosa Beach, CA, U.S.",,,1919,Right-handed (one-handed backhand),,1957 (member page),"AKA ""The California Comet""",,,,,,,,,,,
John Sadri,,United States,1956-09-19,,1.88 m,1976,1987,Right-handed (one-handed backhand),"$895,455",,"Charlotte, North Carolina",,,,,,,,,,,
Jaroslav Drobný,,"Czechoslovakia, Bohemia and Moravia , Egypt, United Kingdom",1921-10-12,"13 September 2001(2001-09-13) (aged 79)Tooting, London, England",,1938 (amateur tour),1969,Left-handed (one-handed backhand),,1983 (member page),,,,,,,,,,,,
Herbert Flam,,United States,1928-11-07,"November 25, 1980(1980-11-25) (aged 52)",,1945 (amateur tour),1963,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Onny Parun,,New Zealand,1947-04-15,,188 cm,1969 (amateur tour from 1967),1982,Right-handed (one-handed backhand),,,"Wellington, New Zealand",,,,,,,,,,,
"Tom Brown, Jr.",,United States,1922-09-26,"October 27, 2011(2011-10-27) (aged 89) Castro Valley, California, U.S.",,1939 (amateur tour),1969,Right-handed (one-handed backhand),,,,,,,,,,,,,,
John H. Crawford,,,,,,,,,,,,,,,,,,,,,,
Dennis Ralston,Richard Dennis Ralston,United States,,"December 6, 2020(2020-12-06) (aged 78)Austin, Texas, US",1.88 m,1967 (amateur from 1958),1977,Right-handed (one-handed backhand),,1987 (member page),,,,,,,,,,,,
Brian Teacher,,Brian David Teacher,1954-12-23,,1.91 m,1973,1986,Right-handed (one-handed backhand),"$1,426,514",,,,,,,,,,,,,
Albert Costa,,Spain,1975-06-25,,1.80 m,1993,2006,Right-handed (one-handed backhand),"$7,673,478",,"Barcelona, Spain",,,,,,,,,,,
Alejandro Olmedo,,Peru United States,1936-03-24,"December 9, 2020(2020-12-09) (aged 84)Los Angeles, California, US",1.78 m,1960,1977,Right-handed (one-handed backhand),,1987 (member page),,,,,,,,,,,,
Magnus Norman,,Sweden,1976-05-30,,1.88 m,1995,2004 (last match played in September 2003),Right-handed (two-handed backhand),"$4,537,247",,"Monte Carlo, Monaco",,,,,,,,,,,
Gardnar Mulloy,,United States,1913-11-22,"November 14, 2016(2016-11-14) (aged 102)Miami, Florida, United States",1.85 m,1934 (amateur tour),1969,Right-handed (one-handed backhand),,1972 (member page),,,,,University of Miami,,,,,,,
William M. Johnston,,,,,,,,,,,,,,,,,,,,,,
Chris Lewis,,,,,,,,,,,,,,,,,,,,,,
Ian Vermaak,,South Africa,1933-03-28,,,1953 (amateur tour),1960 (brief periods of activity afterwards),Right-handed (1-handed backhand),,,,,,,,,,,,,,
Marat Safin,Marat Mubinovich Safin,Russia,1980-01-27,,1.93 m,1997,11 November 2009,Right-handed (two-handed backhand),"US$ 14,373,291",2016 (member page),"Monte Carlo, Monaco",,,,,,Марат Мубинович Сафин,,,,,
Jean Borotra,Jean Laurent Robert Borotra,France,1898-08-13,"17 July 1994(1994-07-17) (aged 95)Arbonne, France",1.86 m,1920 (amateur tour),1956,Right-handed (one-handed backhand),,1976 (member page),,,,,,,,,,,,
Guillermo Coria,,Argentina,1982-01-13,,1.75 m,2000,28 April 2009,Right-handed (two-handed backhand),"$5,915,620",,"Venado Tuerto, Argentina",,,Gustavo Luza (2000)Mariano Monachesi (2001)Franco Davín (2002–2003)Alberto Mancini (2003–2004)Fabian Blengino (2004)Gabriel Markus (2004)José Perlas (2004–2005)José Higueras (2006)Horacio De La Peña (2006)Hernán Gumy (2007–2008)Martin Rodriguez (2009),,,,,,,,
Kurt Nielsen,,Denmark,1930-11-19,11 June 2011(2011-06-11) (aged 80),,1960 (amateur tour from 1948),1966,Right-handed (one-handed backhand),,,,,,Don Tregonning (1955),,,,,,,,
Frank Sedgman,Francis Arthur Sedgman,Australia,1927-10-29,,180 cm,1953 (amateur tour from 1945),1976,Right-handed (one-handed backhand),,1979 (member page),,,,,,,,,,,,
Malcolm D. Whitman,Malcolm Douglass Whitman,United States,1877-03-15,"December 28, 1932(1932-12-28) (aged 55)New York, NY, United States",1.87 m,1896 (amateur tour),1917,Right-handed (one-handed backhand),,1955 (member page),,,,,,,,,,,,
John Hartley,,,,,,,,,,,,,,,,,,,,,,
M.J.G. Ritchie,Major Josiah George Ritchie,United Kingdom,1870-10-18,"28 February 1955(1955-02-28) (aged 84)Ashford, Middlesex, England",,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Bill Bowrey,William Walter Bowrey,Australia,1943-12-25,,,1968 (amateur tour from 1962),1975,Right-handed (1-handed backhand),,,"Victoria, Australia",,,,,,,,,,,
Chuck McKinley,Charles Robert McKinley Jr.,United States,1941-01-05,"August 11, 1986(1986-08-11) (aged 45)Dallas, Texas, U.S.",1.73 m,1956 (amateur tour),1969,Right-handed (one-handed backhand),,1986 (member page),,,,,,,,,,,,
Rafael Nadal,Rafael Nadal Parera,Spain,1986-06-03,,1.85 m,2001,,"Left-handed (two-handed backhand), born right-handed","US$123,843,596
 3rd all-time leader in earnings",,"Manacor, Mallorca, Spain",,,Toni Nadal (2005–2017)Francisco Roig (2005–)Carlos Moyá (2016–),,rafaelnadal.com,,,,,,
Robert Riggs,,,,,,,,,,,,,,,,,,,,,,
Andre Agassi,Andre Kirk Agassi,United States,1970-04-29,,180 cm,1986,2006,Right-handed (two-handed backhand),"US$31,152,975 
 8th all-time leader in earnings",2011 (member page),"Las Vegas, Nevada, U.S.",,,Emmanuel Agassi (1970–83)Nick Bollettieri (1983–93)[1]Brad Gilbert (1994–2002)Darren Cahill (2002–2006),,,,,,,,
Rhys Gemmell,,Australia,1896-03-04,10 May 1972(1972-05-10) (aged 76),,,,,,,,,,,,,,,,,,
Cliff Drysdale,Eric Clifford Drysdale,South Africa,1941-05-26,,1.89 m,1968 (amateur from 1962),1980,Right-handed (two-handed backhand),,2013 (member page),"Austin, Texas, United States",,,,,www.cliffdrysdale.com,,,,,,
Víctor Pecci,,Paraguay,1955-10-15,,1.93 m,1976,1990,Right-handed (one-handed backhand),"$994,408",,"Asunción, Paraguay",,,,,,,,,,,
Wilmer Allison,Wilmer Lawson Allison Jr.,United States,1904-12-08,"April 20, 1977(1977-04-20) (aged 72)Austin, TX, US",1.80 m,1927 (amateur tour),1941,Right-handed (1-handed backhand),,1963 (member page),,,,,,,,,,,,
Nicola Pietrangeli,,Italy,1933-09-11,,1.78 m,1968 (amateur tour from 1953),1973,Right-handed (one-handed backhand),,1986 (member page),"Rome, Italy",,,,,,,,,,,
Alberto Berasategui,,,1973-06-28,,1.72 m,1991,May 2001,Right-handed (one and two-handed backhand),"$4,676,187",,"Bellaterra, Spain",,,,,,,,,,,
Lleyton Hewitt,Lleyton Glynn Hewitt,Australia,1981-02-24,,178 cm,1998,2016 (singles),Right-handed (two-handed backhand),"US$ 20,889,965
 19th all-time leader in earnings",,"Toorak, Victoria, Australia",Bec Cartwright ​(m. 2005)​,3,Peter Smith (1997–1998)Darren Cahill (1998–2001)Jason Stoltenberg (2001–2003)Roger Rasheed (2003–2007)Scott Draper (2007)Tony Roche (2007–2009)Nathan Healey (2009–2010)Brett Smith (2010)Tony Roche (2010–2016)Peter Luczak (2013–2016)Jaymon Crabb,,,,,,,,
Alexander Zverev,,Germany,1997-04-20,,1.98 m,2013,,Right-handed (two-handed backhand),"US$ 23,961,269
 15th all-time in earnings",,"Monte Carlo, Monaco",,,Mischa Zverev,,,,,,,,
Marcelo Ríos,,Chile,1975-12-26,,1.75 m,1994,2004,Left-handed (two-handed backhand),"$9,713,771",,"Santiago, Chile",,,,,,,,,,,
Cédric Pioline,,France,1969-06-15,,1.87 m,1989,2002,Right-handed (one-handed backhand),"$6,921,029",,"Geneva, Switzerland",,,,,,,,,,,
Fred Alexander,Frederick Beasley Alexander,United States,1880-08-14,"March 3, 1969(1969-03-03) (aged 88)Beverly Hills, CA, U.S.",,1899 (amateur tour),1920,Right-handed (one-handed backhand),,1961 (member page),,,,,Princeton University,,,,,,,
Quincy Shaw,,United States,1869-07-30,"May 8, 1960(1960-05-08) (aged 90)Boston, Massachusetts, U.S.",,1884 (amateur tour),1894,Left-handed (one-handed backhand),,,,,,,,,,,,,,
József Asbóth,,Hungary,1917-09-18,"22 September 1986(1986-09-22) (aged 69)München, West Germany",,1939 (amateur tour),1957,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Henner Henkel,Heinrich Ernst Otto Henkel,Germany,1915-10-09,"13 January 1943(1943-01-13) (aged 27)near Voronezh, Russian SFSR, Soviet Union",,1934 (amateur tour),1943 (due to death),Right-handed (one-handed backhand),,,,,,,,,,,,Died of wounds,,
Clark Graebner,,,1943-11-04,,1.88 m,1968 (amateur from 1960),1976,Right-handed (one-handed backhand),,,New York City,,,,,,,,,,,
Manliff Goodbody,Manliffe Francis Goodbody,United Kingdom,,"24 March 1916(1916-03-24) (aged 47)SS Sussex, English Channel",,,,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Arthur Gore,Arthur William Charles Wentworth Gore,United Kingdom,1969-01-02,"1 December 1928(1928-12-01) (aged 60)Kensington, England",,1888 (amateur tour),1922,Right-handed (one-handed backhand),,,,,,,,,,,,,,
Ron Thomas,,,1950-11-19,"July 14, 2018(2018-07-14) (aged 67)",,,,,,,,,,,,,,American,,,6 ft 6 in (1.98 m),215 lb (98 kg)
Sidney Smith,Sydney Howard Smith,United Kingdom,1872-02-03,"27 March 1947(1947-03-27) (aged 75)Stroud, Gloucestershire, UK",,1891 (amateur tour),1906,Right-handed (one-handed backhand),,,,,,,,,,,,,,
John Lloyd,,United Kingdom,1954-08-27,,1.80m,,,,,,,,,,,,,,,,,
Wilhelm Bungert,Wilhelm Paul Bungert,West Germany,1939-04-01,,1.88 m,1957 (amateur tour),1972,Right-handed (one-handed backhand),,,"Düsseldorf, Germany",,,,,,,,,,,
Novak Djokovic,,Serbia,1987-05-22,,1.88 m,2003,,Right-handed (two-handed backhand),"US$ 147,744,252
 All-time leader in earnings",,"Monte Carlo, Monaco",,,Marián VajdaGoran Ivanišević,,novakdjokovic.com,Новак ЂоковићNovak Đoković,,,,,
Ernest Renshaw,Ernest James Renshaw,United Kingdom,1861-01-03,"2 September 1899(1899-09-02) (aged 38)Waltham St. Lawrence, Berkshire, England",1.78 m,1879 (amateur tour),1897,Right-handed (one-handed backhand),,1983 (member page),,,,,,,,,,,,
John H. Doeg,,United States,1908-12-07,"April 27, 1978(1978-04-27) (aged 69)Redding, CA, United States",1.85 m,1927 (amateur tour),1940,Left-handed (one-handed backhand),,1962 (member page),,,,,,,,,,,,
Ivan Lendl,,Czechoslovakia (1978–1992)  United States (1992–),1960-03-07,,1.88 m,1978,1994,Right-handed (one-handed backhand),"US$21,262,417
18th all-time leader in earnings",2001 (member page),"Goshen, Connecticut, USVero Beach, Florida, US",,,,,,,,,,,
Budge Patty,John Edward Patty,United States,1924-02-11,,,1940 (amateur tour),1960,Right-handed (1-handed backhand),,1977 (member page),,,,,,,,,,,,
Pierre Darmon,,France,1934-01-14,,,1950 (amateur tour),1968,Right-handed (one-handed backhand),,,,,,,,,,,,,,
J. Parmly Paret,,United States,1870-10-03,"November 24, 1952(1952-11-24) (aged 82)Pasadena, Los Angeles, USA",,1889 (amateur tour),1903,,,,,,,,,,,,,,,
Neale Fraser,Neale Andrew Fraser,Australia,1933-10-03,,1.85 m,,1977,Left-handed (one-handed backhand),,1984 (member page),Australia,,,,,,,,,,,
Beals C. Wright,Beals Coleman Wright,United States,1879-12-19,"August 23, 1961(1961-08-23) (aged 81)Alton, Illinois, United States",,,,Left-handed (one-handed backhand),,1956 (member page),,,,,,,,,,,,
Yevgeny Kafelnikov,Yevgeny Aleksandrovich Kafelnikov,Russia,1974-02-18,,1.90 m,1992,2010 (last match 2003),Right-handed (two-handed backhand),"$ 23,883,797
 15th all-time leader in earnings",2019 (member page),"Sochi, Russia",,,,,,,,,,,
Marcos Baghdatis,,Cyprus,1985-06-17,,1.78 m,2003,2019,Right-handed (two-handed backhand),"$8,918,917",,"Limassol, Cyprus",,,Pablo Perez  Juan Francisco Spina,,,,,,,,
Elwood Cooke,Elwood Thomas Cooke,United States,1913-07-05,"April 16, 2004(2004-04-16) (aged 90)Apopka, Florida, U.S.",,1947 (amateur tour from 1935),1949,Right-handed (one-handed backhand),,,,,,,,,,,,,,
William Renshaw,William Charles Renshaw,United Kingdom,1861-01-03,"12 August 1904(1904-08-12) (aged 43)Swanage, Dorset, England",1.77 m,,,Right-handed (one-handed backhand),,1983 (member page),,,,,,,,,,,,
Mariano Puerta,,Argentina,1978-09-19,,1.80 m,1998,2009,Left-handed (one-handed backhand),"US$1,695,028",,"Buenos Aires, Argentina",,,,,,,,,,,
Oliver S. Campbell,Oliver Edward Michael Campbell,United States,1871-02-25,"July 11, 1953(1953-07-11) (aged 82)Campbellton, New Brunswick, Canada",,1886 (amateur tour),1892,,,1955 (member page),,,,,,,,,,,,
Dwight F. Davis,,United States,1879-07-05,"November 28, 1945(1945-11-28)  (aged 66)Washington, D.C., U.S.",,,,,,,,,,,,,,,,,,
