Name,Full name,Country (sports),Born,Died,Height,Turned pro,Retired,Plays,Prize money,Int. Tennis HoF,Residence,Spouse(s),Children,Coach,College,Official website,Native name,Nationality,Batting,Cause of death,Listed height,Listed weight,Sex,Nickname(s),National team,Weight,ITF name,Bowling
"""Helen Wills Moody""","""Helen Newington WillsHelen Wills MoodyHelen Wills Roark""","""United States""","""1905-10-06""","""January 1, 1998(1998-01-01) (aged 92)Carmel, CA, United States""","""1.71 m""",,1938,,,"""1959 (member page)""",,,,,,,,,,,,,F,,,,,
"""Sylvia Harper""",,"""Australia""","""1895-10""","""21 October 1982 (1982-10-22) (aged 87)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Flavia Pennetta""",,"""Italy""","""1982-02-25""",,"""1.72 m""","""25 February 2000""","""29 October 2015""","""Right-handed (two-handed backhand)""","""$14,197,886""",,"""Brindisi, Italy""",,,,,"""flaviapennetta.eu""",,,,,,,F,,,,,
"""Jennifer Staley""","""Jennifer Staley Hoad""","""Australia""","""1934-03-03""",,,,,"""Left-handed""",,,,,,,,,,,,,,,F,,,,,
"""Irene Peacock""","""Irene Evelyn Bowder Peacock""","""South Africa""","""1892-07-27""","""13 June 1978(1978-06-13) (aged 85)Johannesburg, South Africa""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Gabriela Sabatini""","""Gabriela Beatriz Sabatini""","""Argentina""","""1970-05-16""",,"""1.75 m""","""January 1985""",1996,"""Right-handed (one-handed backhand)""","""$8,785,850""","""2006 (member page)""","""Buenos Aires, ArgentinaBoca Raton, Florida, U.S.""",,,,,,,,,,,,F,,,,,
"""Nancye Wynne""",,"""Australia""","""1916-12-02""","""9 November 2001(2001-11-09) (aged 84)Melbourne, Australia""","""1.78 m""",,,"""Right-handed""",,"""2006 (member page)""",,,,,,,,,,,,,F,,,,,
"""Elizabeth Ryan""","""Elizabeth Montague Ryan""","""United States and  United Kingdom""","""1892-02-05""","""July 6, 1979(1979-07-06) (aged 87)Wimbledon, England""",,,,,,"""1972 (member page)""","""England till death""",,,,,,,,,,,,F,,,,,
"""Molla Bjurstedt""","""Molla Bjurstedt Mallory""","""Norway United States""","""1884-03-06""","""November 22, 1959(1959-11-22) (aged 75)Stockholm, Sweden""",,,,"""Right-handed""",,"""1958 (member page)""",,,,,,,,,,,,,F,,,,,
"""Lambert Chambers""","""Dorothea Katherine Douglass Lambert Chambers""","""United Kingdom""","""1878-09-03""","""7 January 1960(1960-01-07) (aged 81)Kensington, London, England""",,,,,,"""1981 (member page)""",,,,,,,,,,,,,F,,,,,
"""Juliette Atkinson""","""Juliette Paxton Atkinson""","""United States""","""1873-04-15""","""January 12, 1944(1944-01-12) (aged 70)Lawrenceville, Illinois, United States""","""1.52 m""",,,"""Right-handed""",,"""1974 (member page)""",,,,,,,,,,,,,F,,,,,
"""Ann Haydon-Jones""","""Ann Shirley Jones""","""Great Britain""","""1938-10-07""",,,,,"""Left-handed""",,"""1985 (member page)""",,,,,,,,,,,,,F,,,,,
"""Helen Jackson""",,"""United Kingdom""",,,,,,,,,,,,,,,,,,,,,F,,,,,
"""Victoria Azarenka""","""Victoria Fyodorovna Azarenka""","""Belarus""","""1989-07-31""",,"""1.83 m""",2003,,"""Right-handed (two-handed backhand)""","$32,347,288
7th in all-time rankings",,"""Manhattan Beach, California, United States""",,,"""Dorian Descloix (February 2020–present)""",,,"""Вікторыя Фёдараўна АзаранкаViktoryja Fiodaraŭna Azaranka""",,,,,,F,,,,,
"""Shirley Fry""","""Shirley June Fry Irvin""","""United States""","""1927-06-30""",,"""1.65 m""",,1957,"""Right–handed""",,"""1970 (member page)""","""Orlando, Florida, United States""",,,,,,,,,,,,F,,,,,
"""Mary Browne""","""Mary Kendall Browne""","""United States""","""1891-06-03""","""August 19, 1971(1971-08-19) (aged 80)Laguna Hills, U.S.""","""1.57 m""",,,"""Right-handed""",,"""1957 (member page)""",,,,,,,,,,,,,F,,,,,
"""Kathleen McKane""","""Kathleen McKane Godfree""","""Great Britain""","""1896-05-07""","""19 June 1992(1992-06-19) (aged 96)London, England""",,,,"""Right-handed""",,"""1978 (member page)""",,,,,,,,,,,,,F,,,,,
"""Lena Rice""","""Helena Bertha Grace Rice""","""United Kingdom""","""1866-06-21""","""21 June 1907(1907-06-21) (aged 41)Marlhill""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Betsy Nagelsen""","""Helen Elizabeth ""Betsy"" Nagelsen McCormack""","""United States""","""1956-10-23""",,"""1.75 m""",1973,1996,"""Right-handed""","""$1,016,519""",,"""Maui, Hawaii &Orlando, Florida""",,,,,,,,,,,,F,,,,,
"""Vera Zvonareva""",,"""Russia""","""1984-09-07""",,"""1.72 m""","""September 2000""",,"""Right-handed (two-handed backhand)""","""US$ 13,883,851""",,"""Moscow, Russia""",,,"""Sam Sumyk (2007–2009)Antonio van Grichen (2010)Sergei Demekhine (2010–2011)Arnaud Decugis (2018–)Stephane Robert (2019–)""",,"""www.zvonareva.ru""",,,,,,,F,,,,,
"""Serena Williams""","""Serena Jameka Williams""","""United States""","""1981-09-26""",,"""175 cm""","""October 1995""",,"""Right-handed (two-handed backhand)""","US$ 94,236,271
1st in all-time rankings",,"""Palm Beach Gardens, Florida, U.S.[1]""",,,"""Richard Williams (1994–)Oracene PricePatrick Mouratoglou (2012–)""",,"""www.serenawilliams.com""",,,,,,,F,,,,,
"""Helena Suková""",,"""Czechoslovakia (1983–1992) Czech Republic (1993–1998)""","""1965-02-23""",,"""1.88 m""",1983,1998,"""Right-handed (one-handed backhand)""","""US$ 6,391,245""","""2018 (member page)""","""Prague, Czech Republic""",,,,,,,,,,,,F,,,,,
"""Helen Gourlay""",,"""Australia""","""1946-12-23""",,"""168 cm""",,1978,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Winifred McNair""",,"""United Kingdom""","""1877-08-09""","""28 March 1954(1954-03-28) (aged 76)Kensington, London, England""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Carrie Neely""","""Carrie Blair Neely""","""USA""",,"""November 29, 1938(1938-11-29) Chicago, IL, United States""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Agnieszka Radwańska""","""Agnieszka Roma Radwańska""","""Poland""","""1989-03-06""",,"""1.73 m""","""23 April 2005""","""14 November 2018""","""Right-handed (two-handed backhand)""","US$27,683,807
9th in all-time rankings",,"""Kraków, Poland""",,,,,"""agaradwanska.com""",,,,,,,F,,,,,
"""Alice Pickering""",,"""United Kingdom""",,,,,,,,,,,,,,,,,,,,,F,,,,,
"""Nancy Lyle""",,"""United Kingdom""","""1910-02-26""",1986,,,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Marie Wagner""",,"""USA""","""1883-02-02""","""1 April 1975(1975-04-01) (aged 92) or  28 March 1975(1975-03-28) (aged 92)""",,,,"""Right-handed""",,"""1969 (member page)""",,,,,,,,,,,,,F,,,,,
"""Blanche Bingley""","""Blanche Bingley Hillyard""","""United Kingdom""","""1863-11-03""","""6 August 1946(1946-08-06) (aged 82)West Sussex, England""",,,,"""Right-handed""",,"""2013 (member page)""",,,,,,,,,,,,,F,,,,,
"""Iva Majoli""",,"""Yugoslavia (1990–1991) Croatia (1992-2015)""","""1977-08-12""",,"""1.75 m""","""August 1991""","""June 2004""","""Right-handed (two-handed backhand)""","""$4,405,867""",,"""Zagreb, CroatiaBradenton, Florida""",,,,,,,,,,,,F,,,,,
"""Charlotte Cooper Sterry""","""Charlotte Reinagle Cooper Sterry""","""United Kingdom""","""1870-09-22""","""10 October 1966(1966-10-10) (aged 96)Helensburgh, Scotland""",,,,"""Right–handed""",,"""2013 (member page)""",,,,,,,,,,,,,F,,,,,
"""Virginia Wade""",,"""United Kingdom""","""1945-07-10""",,"""1.70 m""",1968,1986,"""Right-handed (one-handed backhand)""","""$1,542,278""","""1989 (member page)""",,,,,,,,,,,,,F,,,,,
"""Jadwiga Jędrzejowska""",,"""Poland""","""1912-10-15""","""28 February 1980(1980-02-28) (aged 67)Katowice, Poland""",,,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Edith Parker""",,"""United States""",,,,,,,,,,,,,,,,,,,,,F,,,,,
"""Beverly Fleitz""",,"""United States""","""1930-03-13""","""April 29, 2014(2014-04-29) (aged 84)Long Beach, California, U.S.""",,,,"""Right and left-handed forehand""",,,,,,,,,,,,,,,F,,,,,
"""Darlene Hard""","""Darlene Ruth Hard""","""United States""","""1936-01-06""",,,1965,,"""Right-handed""",,"""1973 (member page)""",,,,,,,,,,,,,F,,,,,
"""Sarah H. Palfrey""","""Sarah Hammond Palfrey Danzig""","""United States""","""1912-09-18""","""February 27, 1996(1996-02-27) (aged 83)New York, New York, United States""","""1.63 m""",1947,,"""Right-handed""",,"""1963 (member page)""",,,,,,,,,,,,,F,,,,,
"""Virginia Ruzici""",,"""Romania""","""1955-01-31""",,"""1.73 m""",1975,1987,"""Right-handed (one-handed backhand)""","""US$1,183,728""",,,,,,,,,,,,,,F,,,,,
"""Anna McCune Harper""",,"""United States""","""1902-07-02""","""June 14, 1999(1999-06-14) (aged 96)Moraga, California, U.S.""",,,1932,"""Left-handed """,,,,,,,,,,,,,,,F,,,,,
"""Ethel Thomson""","""Ethel Warneford Thomson Larcombe""","""United Kingdom""","""1879-06-08""","""11 August 1965(1965-08-11) (aged 86)Budleigh Salterton, England""",,,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Daphne Akhurst""","""Daphne Jessie Akhurst Cozens""","""Australia""","""1903-04-22""","""9 January 1933(1933-01-09) (aged 29)Sydney, Australia""",,,,"""Right-handed""",,"""2013 (member page)""",,,,,,,,,,,,,F,,,,,
"""Thelma Long""","""Thelma Dorothy Coyne Long""","""Australia""","""1918-10-14""","""13 April 2015(2015-04-13) (aged 96)Sydney, Australia""",,,,"""Right-handed""",,"""2013 (member page)""",,,,,,,,,,,,,F,,,,,
"""Dianne Fromholtz""",,"""Australia""","""1956-08-10""",,"""1.65 m""",1973,1990,"""Left-handed (one-handed backhand)""","""US$1,145,377""",,"""Melbourne, Australia""",,,,,,,,,,,,F,,,,,
"""Lili de Alvarez""","""Elia Maria González-Álvarez y López-Chicheri""","""Spain (−1936)France (1936–)""","""1905-05-09""","""8 July 1998(1998-07-08) (aged 93)Madrid, Spain""",,,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Renée Schuurman""",,"""South Africa""","""1939-10-26""","""30 May 2001(2001-05-30) (aged 61) Howick, South Africa""",,,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,"""Renee Schuurman""",
"""Sofia Kenin""","""Sofia Anna Kenin""","""United States""","""1998-11-14""",,"""1.70 m""",2017,,"""Right-handed (two-handed backhand)""","""US$7,362,333""",,"""Pembroke Pines, Florida, US""",,,"""Alex Kenin""",,"""sonyakenin.com""",,,,,,,F,,,,,
"""Mary Pierce""",,"""France""","""1975-01-15""",,"""1.78 m""","""March 1989""",,"""Right-handed (two-handed backhand)""","""$9,793,119""","""2019 (member page)""","""Rivière Noire, Mauritius""",,,,,,,,,,,,F,,,,,
"""Edith Austin""",,"""United Kingdom""","""1867-12-15""","""27 July 1953(1953-07-27) (aged 85)Fulham, London, England""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Jana Novotná""",,"""Czechoslovakia (1987–1992) Czech Republic (1993–1999)""","""1968-10-02""","""19 November 2017(2017-11-19) (aged 49)Czech Republic""","""1.75 m""",1987,1999,"""Right-handed (one-handed backhand)""","""$11,249,284""","""2005 (member page)""",,,,,,,,,,,,,F,,,,,
"""Mary Joe Fernández""",,"""United States""","""1971-08-19""",,"""1.75 m""",1986,2000,"""Right-handed (two-handed backhand)""","""$5,258,471""",,"""Miami, Florida, U.S.""",,,,,,,,,,,,F,,,,,
"""May Sutton""","""May Godfrey Sutton Bundy""","""United States""","""1886-09-25""","""October 4, 1975(1975-10-04) (aged 89)Santa Monica, California""","""1.64 m""",,,"""Right-handed""",,"""1956 (member page)""",,,,,,,,,,,,,F,,,,,
"""Renáta Tomanová""",,"""Czechoslovakia""","""1954-12-09""",,"""1.68 m""",,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Nelly Landry""",,"""Belgium (1933-1936) France (1937 onwards)""","""1916-12-27""","""22 February 2010(2010-02-22) (aged 93)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Margaret Scriven""","""Margaret Croft Scriven-Vivian""","""United Kingdom""","""1912-08-12""","""25 January 2001(2001-01-25) (aged 88)Haslemere, England""",,,,"""Left-handed (one-handed backhand)""",,"""2016 (member page)""",,,,,,,,,,,,,F,,,,,
"""Carole Caldwell Graebner""",,"""United States""","""1943-06-24""","""November 19, 2008(2008-11-19) (aged 65)New York, USA""",,,,,,,,,,,,,,,,,,,F,,,,"""Carole Graebner""",
"""Maria Sharapova""","""Maria YuryevnaSharapova""","""Russia""","""1987-04-19""",,"""1.88 m""","""19 April 2001""","""26 February 2020""","""Right-handed (two-handed backhand)""","$38,777,962
3rd all-time in earnings",,"""Bradenton, Florida, U.S.""",,,,,"""mariasharapova.com""","""Мария Юрьевна Шарапова""",,,,,,F,,,,,
"""Beryl Penrose""",,"""Australia""","""1930-12-22""",,,,,"""Right–handed (one-handed backhand)""",,,,,,,,,,,,,,,F,,,,,
"""Mary K. Browne""","""Mary Kendall Browne""","""United States""","""1891-06-03""","""August 19, 1971(1971-08-19) (aged 80)Laguna Hills, U.S.""","""1.57 m""",,,"""Right-handed""",,"""1957 (member page)""",,,,,,,,,,,,,F,,,,,
"""Helen Wills""","""Helen Newington WillsHelen Wills MoodyHelen Wills Roark""","""United States""","""1905-10-06""","""January 1, 1998(1998-01-01) (aged 92)Carmel, CA, United States""","""1.71 m""",,1938,,,"""1959 (member page)""",,,,,,,,,,,,,F,,,,,
"""Eleanor E. Goss""",,"""United States""","""1895-11-18""","""November 6, 1982 (aged 86) Salisbury, Connecticut, USA""",,,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Pam Shriver""","""Pamela Howard Shriver""","""United States""","""1962-07-04""",,"""1.83 m""",1979,1997,"""Right-handed (one-handed backhand)""","""$5,460,566""","""2002 (member page)""","""Los Angeles, California, U.S.""",,,"""Don Candy""",,,,,,,,,F,,,,,
"""Olga Morozova""",,"""Soviet Union""","""1949-02-22""",,"""1.70 m""",1966,"""1977 and 1989""","""Right-handed (one handed-backhand)""","""no value""",,"""London, England""",,,,,,,,,,,,F,,,,,
"""Ginette Bucaille""",,"""France""",,,,,,,,,,,,,,,,,,,,,F,,,,,
"""Ashleigh Barty""",,"""Australia""","""1996-04-24""",,"""1.66 m""","""April 2010""",,"""Right-handed (two-handed backhand)""","$18,330,358
23rd all-time in earnings",,"""Ipswich, Queensland, Australia""",,,"""Craig Tyzzer""",,,,,"""Right-handed""",,,,F,,,,,"""Right-arm medium"""
"""Sylvia Hanika""",,"""Germany""","""1959-11-30""",,"""1.73 m""",1977,1990,"""Left-handed (one handed-backhand)""","""US$ 454,347""",,"""La Manga, Spain""",,,,,,,,,,,,F,,,,,
"""Vera Suková""",,"""Czechoslovakia""","""1931-06-13""","""13 May 1982(1982-05-13) (aged 50)Prague, Czechoslovakia""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Louise Hammond Raymond""","""Louise Ellsworth Hammond Raymond""","""United States""","""1886-12-29""","""August 1991(-)(-) Scarsdale, NY, United States""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Mima Jaušovec""",,"""Yugoslavia""","""1956-07-20""",,"""1.60 m""",1975,1988,"""Right-handed (one-handed backhand)""","""$933,926""",,,,,,,,,,,,,,F,,,,,
"""Eleonora Sears""","""Eleonora Randolph Sears""","""United States""","""1881-10-28""","""March 16, 1968(1968-03-16) (aged 86)Palm Beach, Florida, U.S.""",,,,"""Right-handed""",,"""1968 (member page)""",,,,,,,,,,,,,F,,,,,
"""Françoise Dürr""",,"""France""","""1942-12-25""",,"""1.63 m""","""1968 (start of Open Era)""",1984,"""Right-handed (single handed-backhand)""",,"""2003 (member page)""",,,,,,,,,,,,,F,,,,,
"""Helga Niessen""",,"""West Germany""","""1941-11-11""",,"""1.83 m""",,,"""Right-handed (one handed backhand)""",,,,,,,,,,,,,,,F,,,,"""Helga Masthoff""",
"""Nathalie Tauziat""",,"""France""","""1967-10-17""",,"""1.65 m""",1984,2003,"""Right-handed (one handed-backhand)""","""$6,650,093""",,"""Anglet, France""",,,,,,,,,,,,F,,,,,
"""Betty Stöve""","""Betty Flippina Stöve""","""Netherlands""","""1945-06-24""",,"""1.80 m""",,,"""Right-handed""","""US$1,047,356""",,"""Brasschaat, Belgium""",,,,,,,,,,,,F,,,,"""Betty Stove""",
"""Tracy Austin""",,"""United States""","""1962-12-12""",,"""165 cm""","""October 23, 1978""","""July 1994""","""Right-handed(two-handed backhand)""","""US$1,992,380""","""1992 (member page)""","""Rolling Hills, California""",,,"""Pancho Segura, Robert Lansdorp, Vic Braden""",,,,,,,,,F,,,,,
"""Andrea Jaeger""",,"""United States""","""1965-06-04""",,"""1.68 m""",1980,1985,"""Right-handed (two handed-backhand)""","""US$ 1,379,065""",,"""Santa Rosa Beach, Florida""",,,,,,,,,,,,F,,,,,
"""Molla Mallory""","""Molla Bjurstedt Mallory""","""Norway United States""","""1884-03-06""","""November 22, 1959(1959-11-22) (aged 75)Stockholm, Sweden""",,,,"""Right-handed""",,"""1958 (member page)""",,,,,,,,,,,,,F,,,,,
"""Barbara Jordan""",,"""United states""","""1957-04-02""",,"""1.65m""",,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Judy Tegart""",,"""Australia""","""1937-12-12""",,,,,,,,,,,,,,,,,,,,F,,,,,
"""Nancye Bolton""",,"""Australia""","""1916-12-02""","""9 November 2001(2001-11-09) (aged 84)Melbourne, Australia""","""1.78 m""",,,"""Right-handed""",,"""2006 (member page)""",,,,,,,,,,,,,F,,,,,
"""Suzanne Lenglen""",,"""France""","""1899-05-24""","""4 July 1938(1938-07-04) (aged 39)Paris, France""","""1.64 m""","""August 1926""",,"""Right-handed (one-handed backhand)""",,"""1978 (member page)""",,,,"""Charles Lenglen""",,,,,,,,,F,,,,,
"""Madison Keys""",,"""United States""","""1995-02-17""",,"""1.78 m""","""February 17, 2009""",,"""Right-handed (two-handed backhand)""","""US$12,603,740""",,"""Orlando, Florida""",,,"""Ola Malmqvist""",,,,,,,,,F,,,,,
"""Jennifer Brady""",,"""United States""","""1995-04-12""",,"""1.78 m""",2014,,"""Right-handed (two-handed backhand)""","""$4,405,195""",,,,,"""Michael Geserer""","""UCLA""",,,,,,,,F,,,,,
"""Florența Mihai""",,"""Romania""","""1955-09-02""","""14 October 2015(2015-10-14) (aged 60)""","""1.65 m""",,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Arantxa Sánchez Vicario""",,"""Spain""","""1971-12-18""",,"""1.69 m""",1985,2002,"""Right-handed (two-handed backhand)""","$16,942,640
 20th in all-time rankings (female)","""2007 (member page)""","""Barcelona, Spain""",,,,,,,,,,,,F,,,,,
"""Doris Hart""",,"""United States""","""1925-06-20""","""May 29, 2015(2015-05-29) (aged 89)Coral Gables, Florida, U.S.""",,,"""1955 (but played at the 1968 Wimbledon Championships and the 1969 US Open)""",,,"""1969 (member page)""",,,,,,,,,,,,,F,,,,,
"""Dorothy Stevenson""","""Dorothy 'Dot' Stevenson""","""Australia""",,,,,,,,,,,,,,,,,,,,,F,,,,,
"""Sarah Palfrey Cooke""","""Sarah Hammond Palfrey Danzig""","""United States""","""1912-09-18""","""February 27, 1996(1996-02-27) (aged 83)New York, New York, United States""","""1.63 m""",1947,,"""Right-handed""",,"""1963 (member page)""",,,,,,,,,,,,,F,,,,,
"""Ellen Hansell""","""Ellen Forde Hansell Allerdice""","""USA""","""1869-09-18""","""11 May 1937(1937-05-11) (aged 67)Pittsburgh, PA, U.S.""",,,,"""Right-handed""",,"""1965 (member page)""",,,,,,,,,,,,,F,,,,,
"""Ana Ivanovic""",,"""Serbia and Montenegro (2004–2006) Serbia (2006–2016)""","""1987-11-06""",,"""1.84 m""","""17 August 2003""","""28 December 2016""","""Right-handed (two-handed backhand)""","""US$15,510,787""",,"""Chicago, Illinois""",,,,,"""Official website""","""Ана ИвановићAna Ivanović""",,,,,,F,,,,,
"""Simona Halep""",,"""Romania""","""1991-09-27""",,"""1.68 m""",2006,,"""Right-handed (two-handed backhand)""","US$37,426,198
4th in all-time rankings",,"""Constanța, Romania""",,,"""Darren CahillArtemon Apostu-Efremov""",,"""simonahalep.com""",,,,,,,F,,,,,
"""Margaret Osborne""","""Margaret Osborne duPont""","""United States""","""1918-03-04""","""October 16, 1974(1974-10-16) (aged 91)El Paso, Texas, U.S.""","""1.65m""",,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Joan Fry""","""Joan Craddock Fry-Lakeman""","""United Kingdom""","""1906-05-06""","""29 September 1985(1985-09-29) (aged 79)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Kerry Melville""","""Kerry Melville Reid""","""Australia""","""1947-08-07""",,"""167 cm""",,1979,"""Right-handed (one-handed backhand)""",,,,,,,,,,,,,,,F,,,,,
"""Steffi Graf""","""Stefanie Maria Graf""","""West Germany (1982–1990) Germany (1990–1999)""","""1969-06-14""",,"""1.75 m""","""18 October 1982""","""13 August 1999""","""Right-handed (one-handed backhand)""","$21,895,277
14th in all-time rankings","""2004 (member page)""","""Las Vegas, Nevada, U.S.""",,,"""Peter GrafPavel Složil (1986–1991)Heinz Günthardt (1992–1999)""",,,,,,,,,F,,,,,
"""Dominika Cibulková""","""Dominika Navara Cibulková""","""Slovakia""","""1989-05-06""",,"""1.60 m""",2004,2019,"""Right-handed (two-handed backhand)""","""$13,725,520""",,"""Dubai, United Arab Emirates""",,,"""Matej Lipták""",,,,,,,,,F,,,,,
"""Elena Dementieva""",,"""Russia""","""1981-10-15""",,"""1.80 m""","""25 August 1998""","""29 October 2010""","""Right-handed (two-handed backhand)""","""$14,867,437""",,"""Monte Carlo, Monaco""",,,,,,,,,,,,F,,,,,
"""Agnes Morton""","""Agnes Mary Morton""","""United Kingdom""","""1872-03-06""","""5 April 1952(1952-04-05) (aged 80)Kensington, London, England""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Justine Henin""",,"""Belgium""","""1982-06-01""",,"""1.67 m""","""1 January 1999""","""26 January 2011""","""Right-handed (one-handed backhand)""","US$ 20,863,335
 17th in all-time rankings",,"""Brussels, Belgium""",,,"""Carlos Rodríguez (1995–2008""",,,,,,,,,F,,,,,
"""Margaret Smith""",,"""Australia""",,,,,,,,,,,,,,,,,,,,,F,,,,,
"""Karen Susman""",,"""United States""","""1942-12-11""",,,,,"""Right–handed""",,,,,,,,,,,,,,,F,,,,,
"""Kathy Jordan""",,"""United States""","""1959-12-03""",,"""1.73 m""",1979,1991,"""Right-handed (one handed-backhand)""","""$1,592,111""",,"""Palo Alto, California, United States""",,,,"""Stanford University""",,,,,,,,F,,,,,
"""Jelena Janković""",,"""Serbia (2006–present) Serbia and Montenegro (2003–2006) FR Yugoslavia (2000–2003)""","""1985-02-28""",,"""1.77 m""","""6 February 2000""",,"""Right-handed (two-handed backhand)""","US$ 19,089,259
 20th in all-time rankings",,"""Dubai, United Arab Emirates""",,,,,,"""Јелена ЈанковићJelena Janković""",,,,,,F,,,,,
"""Martina Navratilova""",,"""Czechoslovakia (1956–1975)  United States""","""1956-10-18""",,"""1.73 m""",1975,2006,"""Left-handed (one-handed backhand), born right-handed""","US$21,626,089
15th in all-time rankings","""2000 (member page)""","""Miami, Florida, U.S.""",,,,,,,,,,,,F,,,,,
"""Helen Jacobs""","""Helen Hull Jacobs""","""United States""","""1908-08-06""","""June 2, 1997(1997-06-02) (aged 88)East Hampton, New York, U.S.""",,,1947,,,"""1962 (member page)""",,,,,,,,,,,,,F,,,,,
"""Maud Banks""",,"""United States""","""1879-09""",,,,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Sylvia Lance""",,"""Australia""","""1895-10""","""21 October 1982 (1982-10-22) (aged 87)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Helen Homans""",,"""United States""",,"""March 29, 1949(1949-03-29) (aged 72)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Betty Nuthall""","""Elizabeth May Nuthall Shoemaker""","""United Kingdom""","""1911-05-23""","""8 November 1983(1983-11-08) (aged 72)New York City, USA""",,,,"""Right-handed""",,"""1977 (member page)""",,,,,,,,,,,,,F,,,,,
"""Lindsay Davenport""","""Lindsay Ann Davenport Leach""","""United States""","""1976-06-08""",,"""1.89 m""","""February 22, 1993""","""2010 (last match)""","""Right-handed (two-handed backhand)""","US$22,166,338
13th in all-time rankings","""2014 (member page)""","""Laguna Beach, California, U.S.""",,,"""Robert LansdorpCraig Kardon (1994–1995)Robert Van't Hof (1995–2003)Rick Leach (2004–4)Adam Peterson (2004-2010)[1]""",,,,,,,,,F,,,,,
"""Markéta Vondroušová""",,"""Czech Republic""","""1999-06-28""",,"""1.73 m""",,,"""Left-handed (two-handed backhand)""","""$3,790,234""",,"""Prague, Czech Republic""",,,"""Jiří HřebecJan Hernych""",,,,,,,,,F,,,,,
"""Rosemary Casals""","""Rosemary Casals""","""United States""","""1948-09-16""",,"""1.59 m""",1968,,"""Right-handed""","""US$ 1,362,222""","""1996 (member page)""",,,,,,,,,,,,,F,,,,,
"""A. Louise Brough""","""Althea Louise Brough""","""United States""","""1923-03-11""","""February 3, 2014(2014-02-03) (aged 90)Vista, California""","""1.71 m""",,1959,"""Right-handed (one-handed backhand)""",,"""1967 (member page) """,,,,,,,,,,,,,F,,,,,
"""Evonne Goolagong Cawley""","""Evonne Fay Goolagong""","""Australia""","""1951-07-31""",,"""1.68 m""",,1983,"""Right-handed (one-handed backhand)""","""US $1,399,431""","""1988 (member page)""",,,,,,,,,,,,,F,,,,,
"""Louise Bickerton""","""Louie Mildred Bickerton Cozens""","""Australia""",,"""6 June 1998(1998-06-06) (aged 95)""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Charlotte Cooper""","""Charlotte Cooper Sterry""","""United Kingdom""","""1870-09-22""","""10 October 1966(1966-10-10) (aged 96)Helensburgh, Scotland""",,,,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Hazel Hotchkiss""","""Hazel Virginia Hotchkiss Wightman""","""United States""","""1886-12-20""","""December 5, 1974(1974-12-05) (aged 87)Newton, Massachusetts, U.S.""",,,,"""Right-handed""",,"""1957 (member page)""",,,,,,,,,,,,,F,,,,"""Hazel Wightman""",
"""Marion Vanderhoef""",,"""United States""","""1894-12-06""","""June 9, 1985(1985-06-09) (aged 90)New London, CT, U.S.""",,,,,,,,,,,,,,,,,,,F,,,,,
"""Kornelia Bouman""","""Cornelia Bouman""","""Netherlands""","""1903-11-23""","""17 November 1998(1998-11-17) (aged 94)Delden, Netherlands""",,,1930,"""Right-handed""",,,,,,,,,,,,,,,F,,,,,
"""Sabine Lisicki""","""Sabine Katharina Lisicki""","""Germany""","""1989-09-22""",,"""1.78 m""",2006,,"""Right-handed (two-handed backhand)""","""US$7,130,368""",,"""Bradenton, Florida, U.S.""",,,,,,,,,,,,F,,,,,
"""Angelique Kerber""",,"""Germany""","""1988-01-18""",,"""1.73 m""",2003,,"""Left-handed (two-handed backhand), born right-handed""","US$ 29,985,250
8th in all-time rankings",,"""Puszczykowo, Poland""",,,"""Torben Beltz (2020–)""",,"""angelique-kerber.de""",,,,,,,F,,,,,
"""Pauline Betz""","""Pauline Betz Addie""","""United States""","""1919-08-06""","""May 31, 2011(2011-05-31) (aged 91)Potomac, Maryland, U.S.""","""1.66 m""",1947,"""1960""",,,"""1965 (member page)""",,,,,,,,,,,,,F,,,,"""Pauline Addie""",
